Type,Date,Time,Event,Option1,Ratio1,Option2,Ratio2,Option3,Ratio3
Soccer,09.09,20:29 ,(תוכראה אלל) םויס תאצות - 2X1 — תישילש תידרפס ,רקראטיבו דה הואלבה,1.85,‫X,2.70,אנטקוורה,3.00
Soccer,09.09,21:29 ,(תוכראה אלל) םויס תאצות - 2X1 — תישילש תידרפס ,לינארס דפורטיבו,2.45,‫X,2.75,ריאל מדריד ב,2.10
Soccer,09.09,21:29 ,(תוכראה אלל) םויס תאצות - 2X1 — תישילש תידרפס ,ריאל מורסיה,1.50,‫X,3.00,אתלטיקו סן לוקונו,3.85
Soccer,09.09,22:29 ,(תוכראה אלל) םויס תאצות - 2X1 — תישילש תידרפס ,סלטה ויגו ב',1.70,‫X,2.80,קורנייה,3.20
Soccer,09.09,22:29 ,(תוכראה אלל) םויס תאצות - 2X1 — תישילש תידרפס ,אוסאסונה ב',1.85,‫X,2.75,ארנטיירו,2.90
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הנושאר תילגנא ,אקסטר,1.55,‫X,3.05,לייטון אוריינט,3.55
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הנושאר תילגנא ,סטבינייג',1.60,‫X,2.90,קרלייל,3.65
Soccer,09.09,14:29 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תילגנא ,ברדפורד,1.95,‫X,2.75,גרימסבי,2.70
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תילגנא ,ווימבלדון,2.50,‫X,2.75,סטוקפורט,2.05
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תילגנא ,אקרינגטון סטנלי,2.60,‫X,2.85,מנספילד,1.95
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תילגנא ,קרואלי טאון,2.55,‫X,2.85,ניופורט קאונטי,2.00
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תילגנא ,קולצ'סטר,2.00,‫X,2.75,טראנמיר רוברס,2.60
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תילגנא ,פורסט גרין,1.90,‫X,2.85,קרו אלכסנדרה,2.65
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תילגנא ,רקסהאם,1.25,‫X,3.70,דונקסטר,5.20
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תילגנא ,סווינדון,1.60,‫X,3.00,סאטון יונייטד,3.30
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תילגנא ,ג'ילינגהאם,1.65,‫X,2.90,הרוגייט טאון,3.45
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תילגנא ,סלפורד סיטי,1.90,‫X,2.85,וולסול,2.65
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — הינש תילגנא ,מילטון קינס דונס,2.45,‫X,3.00,נוטס קאונטי,1.95
Soccer,09.09,14:29 ,(תוכראה אלל) םויס תאצות - 2X1 — תיזוחמ תילגנא ,האליפקס טאון,2.45,‫X,2.60,סאות'נד יונייטד,2.20
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיזוחמ תילגנא ,בארנט,1.60,‫X,3.20,אלטרינצ'אם,3.25
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיזוחמ תילגנא ,פיילד,1.70,‫X,3.20,אלדרשוט,2.85
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיזוחמ תילגנא ,ברומלי,2.00,‫X,2.85,מיידנהד,2.45
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיזוחמ תילגנא ,צ'סטרפילד,1.35,‫X,3.60,דאג ורד,4.60
Soccer,09.09,16:59 ,(תוכראה אלל) םויס תאצות - 2X1 — תיזוחמ תילגנא ,איסטליי,2.45,‫X,3.00,גייטסהד,1.95
